Tweet,Sentiment
"Now in the showroom at KGF Classic Cars, the ultimate TVR Cerbera 4.5 AJP 420bhp version with only 18,574 miles. https://t.co/y0lXSRHCs4",neutral
'KGF' villain Ram to make his Tamil debut with Karthis upcoming film https://t.co/eeMO7iUxHv,neutral
"Market Risers: Metal Tiger PLC, Intertek Group plc, Kingfisher plc, Micro Focus International plc, NMC Health PLC &amp; https://t.co/qauEg5KNuE",neutral
"Market Risers: Metal Tiger PLC, Intertek Group plc, Kingfisher plc, Micro Focus International plc, #NMC Health PLC https://t.co/EpPhvpEtkf",neutral
#tamilrockers hey please upload KGF FILM OF KANNADA IN proper hd rip I am requesting u,neutral
Blockbuster Movie #KGF (Tamil)... This Sunday at 4:30pm on @ColorsTvTamil https://t.co/7f9Nms1Vub,neutral
"KGF movie taught me one thing , 
      Never be afraid of anyone",negative
"@RCBTweets are you ready 

What is the answer ???.. 

#PlayBold #RRvRCB

#KGF #KGFChapter2 https://t.co/LQQobIEkbI",neutral
"#KGF Official Boxoffice 
#IPL2019 #RRvRCB #AprilFools #Yash 
#Thalapathy63 #KGF2 #EXCLUSIVE 
#100DaysOfKGFChapter1 https://t.co/CDVz4eUchp",neutral
"@OpenPiton @pulp_platform =&gt;
RISC-V based, silicon proven open-source processors from the @pulp_platform , Plenary https://t.co/nyQmky400L",neutral
"Kgf Sidila barava song in piano https://t.co/SyaXCLAFOi
Watch it and like",neutral
"Watched d grandeur #KGF, despite seeing d dubbed version cudnt stop myself watching it repeatedly. Already in luv https://t.co/kEvb7rV1wi",neutral
SALAAM ROCKY BHAI | KGF chapter 1 | Prabhat Patro Choreography | Fan mad... https://t.co/YmsRu8B6rb via @YouTube,neutral
"Anybody answer my doubt ?!!
How did #Rocky gets an sword in marii jatreee ??

#KGF #KGFChapter1 https://t.co/CQY95ddqMf",neutral
@thammuduabimani kgf is mother of all elevation,negative
#Yash Hopes To Make #KGFChapter2 A World-Class Film! Says 'It Would Be Of No Use' If THIS Happens https://t.co/XloE8Upd6q,neutral
Yash Hopes To Make KGF Chapter 2 A World-Class Film! Says 'It Would Be Of No Use' If THIS Happens https://t.co/ZYu18Ru1zo,neutral
Calm compose humble brave @TheNameIsYash #kgf we watched it for countless times. When is next chapter coming? #kgfchapter1 #kgfchapter2,neutral
@STUPIDREACTIONS could please watch this for once.... I'm asking you this from the months....when you were reacting https://t.co/I35xTvbdvc,negative
"https://t.co/rylCb4Vfgg
#kgf @YashTrends @YashTeluguFc 
Yash boss dialouge ",neutral
@DelhiCapitals #kgf Yash Boss ,neutral
"Bonding b/w Besties 
#ntr #ramcharan #Tarak
Both are in white 
#KGF #music
@tarak9999 @upasanakonidela https://t.co/1pT3Mmad6A",neutral
"@taran_adarsh Will collect exactly Double of Local Movie #KGF 

Aukaat of Bhojpuri D grade Actor #Yash",neutral
"@CTRavi_BJP Welcome to Land of Gold.

Waiting to meet u in person on your esteemed visit to our KGF.

With lots of https://t.co/5jD4QpR4qY",positive
"@RadhikaPandit7 Athge New Post On Instagram

@TheNameIsYash @KGF #KGFChapter2 https://t.co/MKgtzPcXTw",neutral
This man is crazy dude.... @prashanth_neel.. His family is on trip to Maldives but he is  still working on the scri https://t.co/dcusS59hzS,neutral
"#KGF #Thala #Ajith version 
#29DToRealLifeHeroTHALABDay #NerkondaPaarvai https://t.co/9Z6c7F7t8v",neutral
"He block me in IG 

mafirst KGF",neutral
