Tweet,Sentiment
"What Akshay Kumars Kesari wont tell you: The real military account of Battle of Saragarhi https://t.co/M9yKLwrVXD 
#KesariFilm #Kesari",neutral
"@Imangadbedi @akshaykumar @karanjohar @apoorvamehta18 I know it was needed, but some of the scenes were too gory. #kesari",negative
"Kesari Day 11 Box Office Collection https://t.co/WQGfMrGkB0

#AkshayKumar #Kesari #KesariBoxOffice #BoxOffice https://t.co/2PUllUJ7NV",neutral
"#Kesari
[Sun] - 8.25 Crores
Total - 125.01 Crores",neutral
"Average Weekend Occupancy At National Multiplexes In % (29-31st March)
#Kesari 51%
#Junglee 35%
#Notebook 23% https://t.co/5IhCjamYVD",neutral
#Kesari A movie touches the true feel of India. Awesome work by each and every person in the movie. Special Kudos t https://t.co/MQ1RbIWZZa,positive
@AKKIsCHamp @BoxotopView Bro I m not akki sir fan but I always take stand for every good movie nd #kesari is undoub https://t.co/ouyuLZmOw3,positive
@jaswaltanuj18 @BoxotopView 145cr for clear HIT verdict for #kesari nd it will definitely going to cross 145cr,neutral
#Kesari Day 12 (Mon) Vs #TotalDhamaal Day 12 ( Tue) https://t.co/PolH2cPb7S,neutral
"Just watched #Kesari @akshaykumar Amazing movie! Made me laugh, made me cry, but most of all made me feel a sense o https://t.co/Sq6EH3Hk8Y",positive
@BoxotopView 3cr+ is certain now if comes less than there is some GHAPLA for sure thanks #kesari racing towards clean HIT verdict,positive
#Kesari is one of the those rare emotional movies where you will end up in tears towards the end. @akshaykumar has https://t.co/Peszlhm53g,positive
@ManojKu21119271 #TotalDhamal earned 6+ cr  on second Monday largely due to the Maha Shivaratri holiday. If #Kesari https://t.co/quqTbHJh7m,neutral
Watched #Kesari before a day of my exam. It was worth it. I heard this story of bravery of 21 Sikhs from my  father https://t.co/ghvMCb2Qi7,positive
"In Bangalore (only Bangalor emind you and not whole of Karnataka, they serve CHUTNEY with fucking everything.

You https://t.co/WcgpRSSC7f",negative
"#Kesari Current Night Shows Occupancy(Day 12)
Delhi NCR    21.5% (221 Sh)
Mumbai       15.2% (152 Sh)
Pune https://t.co/cfWNFxW25G",neutral
@ParineetiChopra @akshaykumar @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/WjMrr7X5x8,neutral
"#BoxOffice Collection: #Kesari soars high at the Box Office; Junglee, Notebook stays low. Click to read the full st https://t.co/uuimgsjA2D",neutral
#Kesari Box Office Collection Day 11: On Its Way To Becoming @akshaykumars Second Highest Earning Film https://t.co/n7SfGANvSs,neutral
'Kesari' On Its Way To Becoming Akshay's Second Highest Earning Film https://t.co/QxAk5bXDQ8,neutral
