Tweet,Sentiment
"#Kesari Collections 

[Week 2] 
Fri 4.45 cr, 
Sat 6.45 cr, 
Sun 8.25 cr, 
Mon 3.27 cr. 

Total:  128.28 Crs",neutral
"India's Best Movie Of Each Week In The First Quarter Of 2019
#F2 #Peranbu #Nine #Kesari #SuperDelux ...
https://t.co/fno0FxfvYF",neutral
"#Kesari
[Mon] - 3.27 Crores
Total - 128.28 Crores",neutral
What a bad release date @ajaydevgn... After #AvengersEndgame making more than 400 cr Nett in India.. who will have https://t.co/FVhz8pPNEk,negative
"Kesari enters coveted 100 crore club
#KesariBoxOffice #Kesari #enters #coveted #100croreclub #Bollywood https://t.co/dsSsJmSmJh",neutral
"#JudaiPaeJaani #Kesari 
Super hit ....  https://t.co/M9P7yiQqRa",neutral
Kesari day 12 box office collection and junglee day 4 collection ...kesari heading for 150 cr https://t.co/VG7D0MAGE5,neutral
"#Junglee vs #Notebook 5th day | #Kesari 13th day &amp; #Badla 26th day box office collection 
https://t.co/qLgQueZozk https://t.co/qOR88r8Scp",neutral
3/5 #Review on #Kesari by pahadiya00com : Kesari-A-dramatic-war-based-historical - https://t.co/K9YCHqbHBL,neutral
"Akshay Kumar' Top 5

1. #2Point0  190.48 Cr 

2. #ToiletEkPremKatha  134.42 Cr 

3. #RowdyRathore  133.25 Cr 

4 https://t.co/0UFhXC9JCW",neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/WBDx4oWnVh,neutral
Mark this comment #DeDePyaarDe won't cross 70 cr nett in Lifetime.. Another bad decision by @ajaydevgn #dedepyaardetrailer.. #Kesari,negative
#AvengersEndgame April 28th #DeDePyaarDe 11th May.. RIP  #dedepyaardetrailer.... When #AvengersEndgame would have m https://t.co/iPRICGOwue,neutral
"@Atheist_Krishna @Benarasiyaa kamala pasand should hire this guy, will be better than zubaan kesari actor.",neutral
"@akshaykumar sir
Finally saw #Kesari with my family.
One of the best of movie ever seen.
#JudaiPaeJaani this one a https://t.co/xiSG0RiYiu",positive
@VICKY__264 Nee moham kesari movie is a must watch patriotic movie,neutral
